날짜,실제,이전
2019-01-01,2.50%,2.25%
2019-02-01,2.50%,2.50%
2019-03-01,2.50%,2.50%
2019-04-01,2.50%,2.50%
2019-05-01,2.50%,2.50%
2019-06-01,2.50%,2.50%
2019-07-01,2.50%,2.50%
2019-08-01,2.25%,2.50%
2019-09-01,2.25%,2.50%
2019-10-01,2.00%,2.25%
2019-11-01,1.75%,2.00%
2019-12-01,1.75%,2.00%
2020-01-01,1.75%,1.75%
2020-02-01,1.75%,1.75%
2020-03-01,1.75%,1.75%
2020-04-01,0.25%,1.25%
2020-05-01,0.25%,0.25%
2020-06-01,0.25%,0.25%
2020-07-01,0.25%,0.25%
2020-08-01,0.25%,0.25%
2020-09-01,0.25%,0.25%
2020-10-01,0.25%,0.25%
2020-11-01,0.25%,0.25%
2020-12-01,0.25%,0.25%
2021-01-01,0.25%,0.25%
2021-02-01,0.25%,0.25%
2021-03-01,0.25%,0.25%
2021-04-01,0.25%,0.25%
2021-05-01,0.25%,0.25%
2021-06-01,0.25%,0.25%
2021-07-01,0.25%,0.25%
2021-08-01,0.25%,0.25%
2021-09-01,0.25%,0.25%
2021-10-01,0.25%,0.25%
2021-11-01,0.25%,0.25%
2021-12-01,0.25%,0.25%
2022-01-01,0.25%,0.25%
2022-02-01,0.25%,0.25%
2022-03-01,0.25%,0.25%
2022-04-01,0.50%,0.25%
2022-05-01,0.50%,0.25%
2022-06-01,1.00%,0.50%
